"","PROBEID","SYMBOL","ENTREZID","GENENAME"
"11461","548645_at","DNAJC25","548645","DnaJ heat shock protein family (Hsp40) member C25"
"11462","54865_at","GPATCH4","54865","G-patch domain containing 4"
"11463","54866_at","PPP1R14D","54866","protein phosphatase 1 regulatory inhibitor subunit 14D"
"11464","54867_at","TMEM214","54867","transmembrane protein 214"
"11465","54868_at","TMEM104","54868","transmembrane protein 104"
"11466","54869_at","EPS8L1","54869","EPS8 like 1"
"11467","54870_at","QRICH1","54870","glutamine rich 1"
"11468","54872_at","PIGG","54872","phosphatidylinositol glycan anchor biosynthesis class G"
"11469","54873_at","PALMD","54873","palmdelphin"
"11470","54874_at","FNBP1L","54874","formin binding protein 1 like"
"11471","54875_at","CNTLN","54875","centlein"
"11472","54876_at","DCAF16","54876","DDB1 and CUL4 associated factor 16"
"11473","54877_at","ZCCHC2","54877","zinc finger CCHC-type containing 2"
"11474","54878_at","DPP8","54878","dipeptidyl peptidase 8"
"11475","54879_at","ST7L","54879","suppression of tumorigenicity 7 like"
"11476","54880_at","BCOR","54880","BCL6 corepressor"
"11477","54881_at","TEX10","54881","testis expressed 10"
"11478","54882_at","ANKHD1","54882","ankyrin repeat and KH domain containing 1"
"11479","54883_at","CWC25","54883","CWC25 spliceosome associated protein homolog"
"11480","54884_at","RETSAT","54884","retinol saturase"
"11481","54885_at","TBC1D8B","54885","TBC1 domain family member 8B"
"11482","54886_at","PLPPR1","54886","phospholipid phosphatase related 1"
"11483","54887_at","UHRF1BP1","54887","UHRF1 binding protein 1"
"11484","54888_at","NSUN2","54888","NOP2/Sun RNA methyltransferase family member 2"
"11485","54890_at","ALKBH5","54890","alkB homolog 5, RNA demethylase"
"11486","54891_at","INO80D","54891","INO80 complex subunit D"
"11487","54892_at","NCAPG2","54892","non-SMC condensin II complex subunit G2"
"11488","54893_at","MTMR10","54893","myotubularin related protein 10"
"11489","54894_at","RNF43","54894","ring finger protein 43"
"11490","54896_at","PQLC2","54896","PQ loop repeat containing 2"
"11491","54897_at","CASZ1","54897","castor zinc finger 1"
"11492","54898_at","ELOVL2","54898","ELOVL fatty acid elongase 2"
"11493","54899_at","PXK","54899","PX domain containing serine/threonine kinase like"
"11494","54900_at","LAX1","54900","lymphocyte transmembrane adaptor 1"
"11495","54901_at","CDKAL1","54901","CDK5 regulatory subunit associated protein 1 like 1"
"11496","54902_at","TTC19","54902","tetratricopeptide repeat domain 19"
"11497","54903_at","MKS1","54903","Meckel syndrome, type 1"
"11498","54904_at","NSD3","54904","nuclear receptor binding SET domain protein 3"
"11499","54905_at","CYP2W1","54905","cytochrome P450 family 2 subfamily W member 1"
"11500","54906_at","FAM208B","54906","family with sequence similarity 208 member B"
"11501","54908_at","SPDL1","54908","spindle apparatus coiled-coil protein 1"
"11502","54910_at","SEMA4C","54910","semaphorin 4C"
"11503","54913_at","RPP25","54913","ribonuclease P and MRP subunit p25"
"11504","54914_at","FOCAD","54914","focadhesin"
"11505","54915_at","YTHDF1","54915","YTH N6-methyladenosine RNA binding protein 1"
"11506","54916_at","TMEM260","54916","transmembrane protein 260"
"11507","54918_at","CMTM6","54918","CKLF like MARVEL transmembrane domain containing 6"
"11508","54919_at","DNAAF5","54919","dynein axonemal assembly factor 5"
"11509","54920_at","DUS2","54920","dihydrouridine synthase 2"
"11510","54921_at","CHTF8","54921","chromosome transmission fidelity factor 8"
"11511","54922_at","RASIP1","54922","Ras interacting protein 1"
"11512","54923_at","LIME1","54923","Lck interacting transmembrane adaptor 1"
"11513","54925_at","ZSCAN32","54925","zinc finger and SCAN domain containing 32"
"11514","54926_at","UBE2R2","54926","ubiquitin conjugating enzyme E2 R2"
"11515","54927_at","CHCHD3","54927","coiled-coil-helix-coiled-coil-helix domain containing 3"
"11516","54928_at","IMPAD1","54928","inositol monophosphatase domain containing 1"
"11517","54929_at","TMEM161A","54929","transmembrane protein 161A"
"11518","54930_at","HAUS4","54930","HAUS augmin like complex subunit 4"
"11519","54931_at","TRMT10C","54931","tRNA methyltransferase 10C, mitochondrial RNase P subunit"
"11520","54932_at","EXD3","54932","exonuclease 3'-5' domain containing 3"
"11521","54933_at","RHBDL2","54933","rhomboid like 2"
"11522","54934_at","KANSL2","54934","KAT8 regulatory NSL complex subunit 2"
"11523","54935_at","DUSP23","54935","dual specificity phosphatase 23"
"11524","54936_at","ADPRHL2","54936","ADP-ribosylhydrolase like 2"
"11525","54938_at","SARS2","54938","seryl-tRNA synthetase 2, mitochondrial"
"11526","54939_at","COMMD4","54939","COMM domain containing 4"
"11527","5493_at","PPL","5493","periplakin"
"11528","54940_at","OCIAD1","54940","OCIA domain containing 1"
"11529","54941_at","RNF125","54941","ring finger protein 125"
"11530","54942_at","FAM206A","54942","family with sequence similarity 206 member A"
"11531","54943_at","DNAJC28","54943","DnaJ heat shock protein family (Hsp40) member C28"
"11532","54946_at","SLC41A3","54946","solute carrier family 41 member 3"
"11533","54947_at","LPCAT2","54947","lysophosphatidylcholine acyltransferase 2"
"11534","54948_at","MRPL16","54948","mitochondrial ribosomal protein L16"
"11535","54949_at","SDHAF2","54949","succinate dehydrogenase complex assembly factor 2"
"11536","5494_at","PPM1A","5494","protein phosphatase, Mg2+/Mn2+ dependent 1A"
"11537","54951_at","COMMD8","54951","COMM domain containing 8"
"11538","54952_at","TRNAU1AP","54952","tRNA selenocysteine 1 associated protein 1"
"11539","54953_at","C1orf27","54953","chromosome 1 open reading frame 27"
"11540","54954_at","FAM120C","54954","family with sequence similarity 120C"
"11541","54955_at","C1orf109","54955","chromosome 1 open reading frame 109"
"11542","54956_at","PARP16","54956","poly(ADP-ribose) polymerase family member 16"
"11543","54957_at","TXNL4B","54957","thioredoxin like 4B"
"11544","54958_at","TMEM160","54958","transmembrane protein 160"
"11545","54959_at","ODAM","54959","odontogenic, ameloblast asssociated"
"11546","5495_at","PPM1B","5495","protein phosphatase, Mg2+/Mn2+ dependent 1B"
"11547","54960_at","GEMIN8","54960","gem nuclear organelle associated protein 8"
"11548","54961_at","SSH3","54961","slingshot protein phosphatase 3"
"11549","54962_at","TIPIN","54962","TIMELESS interacting protein"
"11550","54963_at","UCKL1","54963","uridine-cytidine kinase 1 like 1"
"11551","54964_at","C1orf56","54964","chromosome 1 open reading frame 56"
"11552","54965_at","PIGX","54965","phosphatidylinositol glycan anchor biosynthesis class X"
"11553","54968_at","TMEM70","54968","transmembrane protein 70"
"11554","54969_at","HPF1","54969","histone PARylation factor 1"
"11555","5496_at","PPM1G","5496","protein phosphatase, Mg2+/Mn2+ dependent 1G"
"11556","54970_at","TTC12","54970","tetratricopeptide repeat domain 12"
"11557","54971_at","BANP","54971","BTG3 associated nuclear protein"
"11558","54972_at","TMEM132A","54972","transmembrane protein 132A"
"11559","54973_at","INTS11","54973","integrator complex subunit 11"
"11560","54974_at","THG1L","54974","tRNA-histidine guanylyltransferase 1 like"
"11561","54976_at","C20orf27","54976","chromosome 20 open reading frame 27"
"11562","54977_at","SLC25A38","54977","solute carrier family 25 member 38"
"11563","54978_at","SLC35F6","54978","solute carrier family 35 member F6"
"11564","54979_at","HRASLS2","54979","HRAS like suppressor 2"
"11565","54980_at","C2orf42","54980","chromosome 2 open reading frame 42"
"11566","54981_at","NMRK1","54981","nicotinamide riboside kinase 1"
"11567","54982_at","CLN6","54982","ceroid-lipofuscinosis, neuronal 6, late infantile, variant"
"11568","54984_at","PINX1","54984","PIN2/TERF1 interacting, telomerase inhibitor 1"
"11569","54985_at","HCFC1R1","54985","host cell factor C1 regulator 1"
"11570","54986_at","ULK4","54986","unc-51 like kinase 4"
"11571","54987_at","C1orf123","54987","chromosome 1 open reading frame 123"
"11572","54988_at","ACSM5","54988","acyl-CoA synthetase medium-chain family member 5"
"11573","54989_at","ZNF770","54989","zinc finger protein 770"
"11574","5498_at","PPOX","5498","protoporphyrinogen oxidase"
"11575","54991_at","C1orf159","54991","chromosome 1 open reading frame 159"
"11576","54993_at","ZSCAN2","54993","zinc finger and SCAN domain containing 2"
"11577","54994_at","GID8","54994","GID complex subunit 8 homolog"
"11578","54995_at","OXSM","54995","3-oxoacyl-ACP synthase, mitochondrial"
"11579","54996_at","MARC2","54996","mitochondrial amidoxime reducing component 2"
"11580","54997_at","TESC","54997","tescalcin"
"11581","54998_at","AURKAIP1","54998","aurora kinase A interacting protein 1"
"11582","5499_at","PPP1CA","5499","protein phosphatase 1 catalytic subunit alpha"
"11583","549_at","AUH","549","AU RNA binding methylglutaconyl-CoA hydratase"
"11584","54_at","ACP5","54","acid phosphatase 5, tartrate resistant"
"11585","55000_at","TUG1","55000","taurine up-regulated 1 (non-protein coding)"
"11586","55001_at","TTC22","55001","tetratricopeptide repeat domain 22"
"11587","55002_at","TMCO3","55002","transmembrane and coiled-coil domains 3"
"11588","55003_at","PAK1IP1","55003","PAK1 interacting protein 1"
"11589","55004_at","LAMTOR1","55004","late endosomal/lysosomal adaptor, MAPK and MTOR activator 1"
"11590","55005_at","RMND1","55005","required for meiotic nuclear division 1 homolog"
"11591","55006_at","TRMT61B","55006","tRNA methyltransferase 61B"
"11592","55007_at","FAM118A","55007","family with sequence similarity 118 member A"
"11593","55008_at","HERC6","55008","HECT and RLD domain containing E3 ubiquitin protein ligase family member 6"
"11594","55009_at","C19orf24","55009","chromosome 19 open reading frame 24"
"11595","5500_at","PPP1CB","5500","protein phosphatase 1 catalytic subunit beta"
"11596","55010_at","PARPBP","55010","PARP1 binding protein"
"11597","55011_at","PIH1D1","55011","PIH1 domain containing 1"
"11598","55012_at","PPP2R3C","55012","protein phosphatase 2 regulatory subunit B''gamma"
"11599","55013_at","MCUB","55013","mitochondrial calcium uniporter dominant negative beta subunit"
"11600","55014_at","STX17","55014","syntaxin 17"
"11601","55015_at","PRPF39","55015","pre-mRNA processing factor 39"
"11602","55016_at","MARCH1","55016","membrane associated ring-CH-type finger 1"
"11603","55017_at","C14orf119","55017","chromosome 14 open reading frame 119"
"11604","55018_at","LINC00483","55018","long intergenic non-protein coding RNA 483"
"11605","5501_at","PPP1CC","5501","protein phosphatase 1 catalytic subunit gamma"
"11606","55020_at","TTC38","55020","tetratricopeptide repeat domain 38"
"11607","55022_at","PID1","55022","phosphotyrosine interaction domain containing 1"
"11608","55023_at","PHIP","55023","pleckstrin homology domain interacting protein"
"11609","55024_at","BANK1","55024","B-cell scaffold protein with ankyrin repeats 1"
"11610","55025_at","FLJ20712","55025","uncharacterized FLJ20712"
"11611","55026_at","TMEM255A","55026","transmembrane protein 255A"
"11612","55027_at","HEATR3","55027","HEAT repeat containing 3"
"11613","55028_at","C17orf80","55028","chromosome 17 open reading frame 80"
"11614","5502_at","PPP1R1A","5502","protein phosphatase 1 regulatory inhibitor subunit 1A"
"11615","55030_at","FBXO34","55030","F-box protein 34"
"11616","55031_at","USP47","55031","ubiquitin specific peptidase 47"
"11617","55032_at","SLC35A5","55032","solute carrier family 35 member A5"
"11618","55033_at","FKBP14","55033","FK506 binding protein 14"
"11619","55034_at","MOCOS","55034","molybdenum cofactor sulfurase"
"11620","55035_at","NOL8","55035","nucleolar protein 8"
"11621","55036_at","CCDC40","55036","coiled-coil domain containing 40"
"11622","55037_at","PTCD3","55037","pentatricopeptide repeat domain 3"
"11623","55038_at","CDCA4","55038","cell division cycle associated 4"
"11624","55039_at","TRMT12","55039","tRNA methyltransferase 12 homolog"
"11625","55040_at","EPN3","55040","epsin 3"
"11626","55041_at","PLEKHB2","55041","pleckstrin homology domain containing B2"
"11627","55048_at","VPS37C","55048","VPS37C, ESCRT-I subunit"
"11628","55049_at","C19orf60","55049","chromosome 19 open reading frame 60"
"11629","5504_at","PPP1R2","5504","protein phosphatase 1 regulatory inhibitor subunit 2"
"11630","55051_at","NRDE2","55051","NRDE-2, necessary for RNA interference, domain containing"
"11631","55052_at","MRPL20","55052","mitochondrial ribosomal protein L20"
"11632","55054_at","ATG16L1","55054","autophagy related 16 like 1"
"11633","55055_at","ZWILCH","55055","zwilch kinetochore protein"
"11634","55056_at","FLJ10038","55056","uncharacterized protein FLJ10038"
"11635","55057_at","CRYBG2","55057","crystallin beta-gamma domain containing 2"
"11636","55061_at","SUSD4","55061","sushi domain containing 4"
"11637","55062_at","WIPI1","55062","WD repeat domain, phosphoinositide interacting 1"
"11638","55063_at","ZCWPW1","55063","zinc finger CW-type and PWWP domain containing 1"
"11639","550643_at","NBDY","550643","negative regulator of P-body association"
"11640","55064_at","SPATA6L","55064","spermatogenesis associated 6 like"
"11641","55065_at","SLC52A1","55065","solute carrier family 52 member 1"
"11642","55066_at","PDPR","55066","pyruvate dehydrogenase phosphatase regulatory subunit"
"11643","55068_at","ENOX1","55068","ecto-NOX disulfide-thiol exchanger 1"
"11644","55069_at","TMEM248","55069","transmembrane protein 248"
"11645","5506_at","PPP1R3A","5506","protein phosphatase 1 regulatory subunit 3A"
"11646","55070_at","DET1","55070","de-etiolated homolog 1 (Arabidopsis)"
"11647","55071_at","C9orf40","55071","chromosome 9 open reading frame 40"
"11648","55072_at","RNF31","55072","ring finger protein 31"
"11649","55074_at","OXR1","55074","oxidation resistance 1"
"11650","55075_at","UACA","55075","uveal autoantigen with coiled-coil domains and ankyrin repeats"
"11651","55076_at","TMEM45A","55076","transmembrane protein 45A"
"11652","55079_at","FEZF2","55079","FEZ family zinc finger 2"
"11653","5507_at","PPP1R3C","5507","protein phosphatase 1 regulatory subunit 3C"
"11654","55080_at","TAPBPL","55080","TAP binding protein like"
"11655","55081_at","IFT57","55081","intraflagellar transport 57"
"11656","55082_at","ARGLU1","55082","arginine and glutamate rich 1"
"11657","55083_at","KIF26B","55083","kinesin family member 26B"
"11658","55084_at","SOBP","55084","sine oculis binding protein homolog"
"11659","55086_at","CXorf57","55086","chromosome X open reading frame 57"
"11660","55088_at","CCDC186","55088","coiled-coil domain containing 186"
"11661","55089_at","SLC38A4","55089","solute carrier family 38 member 4"
"11662","55090_at","MED9","55090","mediator complex subunit 9"
"11663","55092_at","TMEM51","55092","transmembrane protein 51"
"11664","55093_at","WDYHV1","55093","WDYHV motif containing 1"
"11665","55094_at","GPATCH1","55094","G-patch domain containing 1"
"11666","55095_at","SAMD4B","55095","sterile alpha motif domain containing 4B"
"11667","55096_at","EBLN2","55096","endogenous Bornavirus-like nucleoprotein 2"
"11668","5509_at","PPP1R3D","5509","protein phosphatase 1 regulatory subunit 3D"
"11669","550_at","AUP1","550","ancient ubiquitous protein 1"
"11670","55100_at","WDR70","55100","WD repeat domain 70"
"11671","55101_at","ATP5SL","55101","ATP5S like"
"11672","55102_at","ATG2B","55102","autophagy related 2B"
"11673","55103_at","RALGPS2","55103","Ral GEF with PH domain and SH3 binding motif 2"
"11674","55105_at","GPATCH2","55105","G-patch domain containing 2"
"11675","55106_at","SLFN12","55106","schlafen family member 12"
"11676","55107_at","ANO1","55107","anoctamin 1"
"11677","55108_at","BSDC1","55108","BSD domain containing 1"
"11678","55109_at","AGGF1","55109","angiogenic factor with G-patch and FHA domains 1"
"11679","5510_at","PPP1R7","5510","protein phosphatase 1 regulatory subunit 7"
"11680","55110_at","MAGOHB","55110","mago homolog B, exon junction complex core component"
"11681","55111_at","PLEKHJ1","55111","pleckstrin homology domain containing J1"
"11682","55112_at","WDR60","55112","WD repeat domain 60"
"11683","55114_at","ARHGAP17","55114","Rho GTPase activating protein 17"
"11684","55116_at","TMEM39B","55116","transmembrane protein 39B"
"11685","55117_at","SLC6A15","55117","solute carrier family 6 member 15"
"11686","55118_at","CRTAC1","55118","cartilage acidic protein 1"
"11687","55119_at","PRPF38B","55119","pre-mRNA processing factor 38B"
"11688","5511_at","PPP1R8","5511","protein phosphatase 1 regulatory subunit 8"
"11689","55120_at","FANCL","55120","Fanconi anemia complementation group L"
"11690","55122_at","AKIRIN2","55122","akirin 2"
"11691","55124_at","PIWIL2","55124","piwi like RNA-mediated gene silencing 2"
"11692","55125_at","CEP192","55125","centrosomal protein 192"
"11693","55127_at","HEATR1","55127","HEAT repeat containing 1"
"11694","55128_at","TRIM68","55128","tripartite motif containing 68"
"11695","55129_at","ANO10","55129","anoctamin 10"
"11696","55130_at","ARMC4","55130","armadillo repeat containing 4"
"11697","55131_at","RBM28","55131","RNA binding motif protein 28"
"11698","55132_at","LARP1B","55132","La ribonucleoprotein domain family member 1B"
"11699","55133_at","SRBD1","55133","S1 RNA binding domain 1"
"11700","55135_at","WRAP53","55135","WD repeat containing antisense to TP53"
"11701","55137_at","FIGN","55137","fidgetin, microtubule severing factor"
"11702","55138_at","FAM90A1","55138","family with sequence similarity 90 member A1"
"11703","55139_at","ANKZF1","55139","ankyrin repeat and zinc finger domain containing 1"
"11704","55140_at","ELP3","55140","elongator acetyltransferase complex subunit 3"
"11705","55142_at","HAUS2","55142","HAUS augmin like complex subunit 2"
"11706","55143_at","CDCA8","55143","cell division cycle associated 8"
"11707","55144_at","LRRC8D","55144","leucine rich repeat containing 8 family member D"
"11708","55145_at","THAP1","55145","THAP domain containing 1"
"11709","55146_at","ZDHHC4","55146","zinc finger DHHC-type containing 4"
"11710","55147_at","RBM23","55147","RNA binding motif protein 23"
"11711","55148_at","UBR7","55148","ubiquitin protein ligase E3 component n-recognin 7 (putative)"
"11712","55149_at","MTPAP","55149","mitochondrial poly(A) polymerase"
"11713","5514_at","PPP1R10","5514","protein phosphatase 1 regulatory subunit 10"
"11714","55150_at","C19orf73","55150","chromosome 19 open reading frame 73"
"11715","55151_at","TMEM38B","55151","transmembrane protein 38B"
"11716","55152_at","DALRD3","55152","DALR anticodon binding domain containing 3"
"11717","55153_at","SDAD1","55153","SDA1 domain containing 1"
"11718","55156_at","ARMC1","55156","armadillo repeat containing 1"
"11719","55157_at","DARS2","55157","aspartyl-tRNA synthetase 2, mitochondrial"
"11720","55159_at","RFWD3","55159","ring finger and WD repeat domain 3"
"11721","5515_at","PPP2CA","5515","protein phosphatase 2 catalytic subunit alpha"
"11722","55160_at","ARHGEF10L","55160","Rho guanine nucleotide exchange factor 10 like"
"11723","55161_at","TMEM33","55161","transmembrane protein 33"
"11724","55163_at","PNPO","55163","pyridoxamine 5'-phosphate oxidase"
"11725","55164_at","SHQ1","55164","SHQ1, H/ACA ribonucleoprotein assembly factor"
"11726","55165_at","CEP55","55165","centrosomal protein 55"
"11727","55166_at","CENPQ","55166","centromere protein Q"
"11728","55167_at","MSL2","55167","male-specific lethal 2 homolog (Drosophila)"
"11729","55168_at","MRPS18A","55168","mitochondrial ribosomal protein S18A"
"11730","5516_at","PPP2CB","5516","protein phosphatase 2 catalytic subunit beta"
"11731","55170_at","PRMT6","55170","protein arginine methyltransferase 6"
"11732","55171_at","TBCCD1","55171","TBCC domain containing 1"
"11733","55172_at","DNAAF2","55172","dynein axonemal assembly factor 2"
"11734","55173_at","MRPS10","55173","mitochondrial ribosomal protein S10"
"11735","55174_at","INTS10","55174","integrator complex subunit 10"
"11736","55175_at","KLHL11","55175","kelch like family member 11"
"11737","55176_at","SEC61A2","55176","Sec61 translocon alpha 2 subunit"
"11738","55177_at","RMDN3","55177","regulator of microtubule dynamics 3"
"11739","55178_at","MRM3","55178","mitochondrial rRNA methyltransferase 3"
"11740","55179_at","FAIM","55179","Fas apoptotic inhibitory molecule"
"11741","55180_at","LINS1","55180","lines homolog 1"
"11742","55181_at","SMG8","55181","SMG8, nonsense mediated mRNA decay factor"
"11743","55182_at","RNF220","55182","ring finger protein 220"
"11744","55183_at","RIF1","55183","replication timing regulatory factor 1"
"11745","55184_at","DZANK1","55184","double zinc ribbon and ankyrin repeat domains 1"
"11746","55186_at","SLC25A36","55186","solute carrier family 25 member 36"
"11747","55187_at","VPS13D","55187","vacuolar protein sorting 13 homolog D"
"11748","55188_at","RIC8B","55188","RIC8 guanine nucleotide exchange factor B"
"11749","5518_at","PPP2R1A","5518","protein phosphatase 2 scaffold subunit Aalpha"
"11750","55190_at","NUDT11","55190","nudix hydrolase 11"
"11751","55191_at","NADSYN1","55191","NAD synthetase 1"
"11752","55192_at","DNAJC17","55192","DnaJ heat shock protein family (Hsp40) member C17"
"11753","55193_at","PBRM1","55193","polybromo 1"
"11754","55194_at","EVA1B","55194","eva-1 homolog B"
"11755","55195_at","C14orf105","55195","chromosome 14 open reading frame 105"
"11756","55196_at","KIAA1551","55196","KIAA1551"
"11757","55197_at","RPRD1A","55197","regulation of nuclear pre-mRNA domain containing 1A"
"11758","55198_at","APPL2","55198","adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2"
"11759","5519_at","PPP2R1B","5519","protein phosphatase 2 scaffold subunit Abeta"
"11760","551_at","AVP","551","arginine vasopressin"
"11761","55200_at","PLEKHG6","55200","pleckstrin homology and RhoGEF domain containing G6"
"11762","55201_at","MAP1S","55201","microtubule associated protein 1S"
"11763","55203_at","LGI2","55203","leucine rich repeat LGI family member 2"
"11764","55204_at","GOLPH3L","55204","golgi phosphoprotein 3 like"
"11765","55206_at","SBNO1","55206","strawberry notch homolog 1"
"11766","55207_at","ARL8B","55207","ADP ribosylation factor like GTPase 8B"
"11767","55208_at","DCUN1D2","55208","defective in cullin neddylation 1 domain containing 2"
"11768","55209_at","SETD5","55209","SET domain containing 5"
"11769","5520_at","PPP2R2A","5520","protein phosphatase 2 regulatory subunit Balpha"
"11770","55210_at","ATAD3A","55210","ATPase family, AAA domain containing 3A"
"11771","55211_at","DPPA4","55211","developmental pluripotency associated 4"
"11772","55212_at","BBS7","55212","Bardet-Biedl syndrome 7"
"11773","55213_at","RCBTB1","55213","RCC1 and BTB domain containing protein 1"
"11774","55214_at","P3H2","55214","prolyl 3-hydroxylase 2"
"11775","55215_at","FANCI","55215","Fanconi anemia complementation group I"
"11776","55216_at","C11orf57","55216","chromosome 11 open reading frame 57"
"11777","55218_at","EXD2","55218","exonuclease 3'-5' domain containing 2"
"11778","55219_at","TMEM57","55219","transmembrane protein 57"
"11779","5521_at","PPP2R2B","5521","protein phosphatase 2 regulatory subunit Bbeta"
"11780","55220_at","KLHDC8A","55220","kelch domain containing 8A"
"11781","55222_at","LRRC20","55222","leucine rich repeat containing 20"
"11782","55223_at","TRIM62","55223","tripartite motif containing 62"
"11783","55224_at","ETNK2","55224","ethanolamine kinase 2"
"11784","55225_at","RAVER2","55225","ribonucleoprotein, PTB binding 2"
"11785","55226_at","NAT10","55226","N-acetyltransferase 10"
"11786","55227_at","LRRC1","55227","leucine rich repeat containing 1"
"11787","55228_at","PNMAL1","55228","paraneoplastic Ma antigen family like 1"
"11788","55229_at","PANK4","55229","pantothenate kinase 4"
"11789","5522_at","PPP2R2C","5522","protein phosphatase 2 regulatory subunit Bgamma"
"11790","55230_at","USP40","55230","ubiquitin specific peptidase 40"
"11791","55231_at","CCDC87","55231","coiled-coil domain containing 87"
"11792","55233_at","MOB1A","55233","MOB kinase activator 1A"
"11793","55234_at","SMU1","55234","DNA replication regulator and spliceosomal factor"
"11794","55236_at","UBA6","55236","ubiquitin like modifier activating enzyme 6"
"11795","55237_at","VRTN","55237","vertebrae development associated"
"11796","55238_at","SLC38A7","55238","solute carrier family 38 member 7"
"11797","55239_at","OGFOD1","55239","2-oxoglutarate and iron dependent oxygenase domain containing 1"
"11798","5523_at","PPP2R3A","5523","protein phosphatase 2 regulatory subunit B''alpha"
"11799","55240_at","STEAP3","55240","STEAP3 metalloreductase"
"11800","55243_at","KIRREL","55243","kin of IRRE like (Drosophila)"
"11801","55244_at","SLC47A1","55244","solute carrier family 47 member 1"
"11802","55245_at","UQCC1","55245","ubiquinol-cytochrome c reductase complex assembly factor 1"
"11803","55246_at","CCDC25","55246","coiled-coil domain containing 25"
"11804","55247_at","NEIL3","55247","nei like DNA glycosylase 3"
"11805","55248_at","TMEM206","55248","transmembrane protein 206"
"11806","55249_at","YY1AP1","55249","YY1 associated protein 1"
"11807","5524_at","PTPA","5524","protein phosphatase 2 phosphatase activator"
"11808","55250_at","ELP2","55250","elongator acetyltransferase complex subunit 2"
"11809","55251_at","PCMTD2","55251","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2"
"11810","55252_at","ASXL2","55252","additional sex combs like 2, transcriptional regulator"
"11811","55253_at","TYW1","55253","tRNA-yW synthesizing protein 1 homolog"
"11812","55254_at","TMEM39A","55254","transmembrane protein 39A"
"11813","55255_at","WDR41","55255","WD repeat domain 41"
"11814","55256_at","ADI1","55256","acireductone dioxygenase 1"
"11815","55257_at","MRGBP","55257","MRG domain binding protein"
"11816","55258_at","THNSL2","55258","threonine synthase like 2"
"11817","55259_at","CASC1","55259","cancer susceptibility 1"
"11818","5525_at","PPP2R5A","5525","protein phosphatase 2 regulatory subunit B'alpha"
"11819","55260_at","TMEM143","55260","transmembrane protein 143"
"11820","55262_at","C7orf43","55262","chromosome 7 open reading frame 43"
"11821","55266_at","TMEM19","55266","transmembrane protein 19"
"11822","55267_at","PRR34","55267","proline rich 34"
"11823","55268_at","ECHDC2","55268","enoyl-CoA hydratase domain containing 2"
"11824","55269_at","PSPC1","55269","paraspeckle component 1"
"11825","5526_at","PPP2R5B","5526","protein phosphatase 2 regulatory subunit B'beta"
"11826","55270_at","NUDT15","55270","nudix hydrolase 15"
"11827","55272_at","IMP3","55272","IMP3, U3 small nucleolar ribonucleoprotein"
"11828","55273_at","TMEM100","55273","transmembrane protein 100"
"11829","55274_at","PHF10","55274","PHD finger protein 10"
"11830","55275_at","VPS53","55275","VPS53, GARP complex subunit"
"11831","55276_at","PGM2","55276","phosphoglucomutase 2"
"11832","55277_at","FGGY","55277","FGGY carbohydrate kinase domain containing"
"11833","55278_at","QRSL1","55278","glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1"
"11834","55279_at","ZNF654","55279","zinc finger protein 654"
"11835","5527_at","PPP2R5C","5527","protein phosphatase 2 regulatory subunit B'gamma"
"11836","55280_at","CWF19L1","55280","CWF19 like 1, cell cycle control (S. pombe)"
"11837","55281_at","TMEM140","55281","transmembrane protein 140"
"11838","55282_at","LRRC36","55282","leucine rich repeat containing 36"
"11839","55283_at","MCOLN3","55283","mucolipin 3"
"11840","55284_at","UBE2W","55284","ubiquitin conjugating enzyme E2 W"
"11841","55285_at","RBM41","55285","RNA binding motif protein 41"
"11842","55286_at","C4orf19","55286","chromosome 4 open reading frame 19"
"11843","55287_at","TMEM40","55287","transmembrane protein 40"
"11844","552889_at","ATXN7L3B","552889","ataxin 7 like 3B"
"11845","55288_at","RHOT1","55288","ras homolog family member T1"
"11846","55289_at","ACOXL","55289","acyl-CoA oxidase like"
"11847","5528_at","PPP2R5D","5528","protein phosphatase 2 regulatory subunit B'delta"
"11848","55290_at","BRF2","55290","BRF2, RNA polymerase III transcription initiation factor subunit"
"11849","55291_at","PPP6R3","55291","protein phosphatase 6 regulatory subunit 3"
"11850","55293_at","UEVLD","55293","UEV and lactate/malate dehyrogenase domains"
"11851","55294_at","FBXW7","55294","F-box and WD repeat domain containing 7"
"11852","55295_at","KLHL26","55295","kelch like family member 26"
"11853","55296_at","TBC1D19","55296","TBC1 domain family member 19"
"11854","55297_at","CCDC91","55297","coiled-coil domain containing 91"
"11855","55298_at","RNF121","55298","ring finger protein 121"
"11856","55299_at","BRIX1","55299","BRX1, biogenesis of ribosomes"
"11857","552_at","AVPR1A","552","arginine vasopressin receptor 1A"
"11858","55300_at","PI4K2B","55300","phosphatidylinositol 4-kinase type 2 beta"
"11859","55301_at","OLAH","55301","oleoyl-ACP hydrolase"
"11860","55303_at","GIMAP4","55303","GTPase, IMAP family member 4"
"11861","55304_at","SPTLC3","55304","serine palmitoyltransferase long chain base subunit 3"
"11862","55308_at","DDX19A","55308","DEAD-box helicase 19A"
"11863","5530_at","PPP3CA","5530","protein phosphatase 3 catalytic subunit alpha"
"11864","553103_at","MIR3936HG","553103","MIR3936 host gene"
